filename,format,mode,width,height,filesize_bytes,ocr_text,ocr_language,Image PhotometricInterpretation,Image Make,Image Model,Image Orientation,Image XResolution,Image YResolution,Image ResolutionUnit,Image Software,Image DateTime,Image ExifOffset,EXIF ExifVersion,EXIF DateTimeDigitized,EXIF ColorSpace,EXIF ExifImageWidth,EXIF ExifImageLength,EXIF CustomRendered
edited1.png,PNG,RGBA,1281,1920,3741489,,,,,,,,,,,,,,,,,,
edited2.png,PNG,RGBA,1280,1280,2993399,TPP a,uncertain,,,,,,,,,,,,,,,,
edited3.jpg,JPEG,RGB,1920,1439,453520,,,,,,,,,,,,,,,,,,
mobile1.jpg,JPEG,RGB,768,361,39954,,,,,,,,,,,,,,,,,,
mobile2.jpg,JPEG,RGB,768,576,92090,,,,,,,,,,,,,,,,,,
mobile3.jpg,JPEG,RGB,768,576,86684,,,,,,,,,,,,,,,,,,
photoshopped1.webp,WEBP,RGB,1080,717,129768,,,,,,,,,,,,,,,,,,
photoshopped2.jpg,JPEG,RGB,640,427,62105,,,,,,,,,,,,,,,,,,
photoshopped3.jpg,JPEG,RGB,780,518,453192,,,2,Canon,Canon MG3500 series Network,Horizontal (normal),72,72,Pixels/Inch,Adobe Photoshop CS6 (Windows),2017:10:08 13:37:55,234,0230,2017:10:08 13:11:25,sRGB,780,518,Custom
screenshot1.png,PNG,RGB,1902,1016,1157171,"kousekip:ako-kaede-miral(htop) — Konsole vax

File Edit View Bookmarks Plugins Settings Help

[Ti New Tab [If] split view ~ | Paste Q Find

EMU vax

Machine View

43044 kousekip 20 Applications Places System 69 Fri Feb 18, 36

5 Terminal

48M 77 kousekip@ako-kaede-mirai-sun:~$ ls -l /
4 4 itotal 1022
5 @kousekip Lrwxrwxrwx 1 root root
1 = drwxr-xr-x 9 root sys
{BiDesktop drwxr-xr-x 81 root sys
2 root sys
ar) Gop 2 (Documents root sys
2 Downloads root et
Gamusic root sys
root bin
root root
root sys
Bitrash root root
root sys
root sys
= Floppy Drive root root
Network root root
root root
@ Browse Netw... root sys
4 root root
root sys
1 root sys
2 root —sys
1 . kousekip@ako-kaede-mirai-sun:~$ If

bin -> ./usr/bin
boot
dev
devices
etc
export
home
kernel
lib
media
mnt

net
opt
platform
proc
root
rpool
sbin
system
‘tmp
usr
var

©

©

5

Devices

9
9
6
4
9

53
5
6
4
9
10
0
6
18
7

openindiana

kousekip:ako-kaede-mirai(htop) x _ kousekip:ako-kaede-mirai(qemu-system-x86)",ht (-249.43),,,,,,,,,,,,,,,,
screenshot2.jpg,JPEG,RGB,728,546,70461,"Share View _—Picture Tools

Kou

Nei Copy path

a Pictures
BX =

By newitem ~

Pin to Quick Copy Paste Move Copy Delete Rename New
access [i] Paste shortcut to~ tor > folder
Clipboard Organize New
€ ¥ 4. (J > OneDrive - Personal > Pictures
(Screenshots a
Ss
> |) Creative Cloud Files Persona aes
Y ef OneDrive - Personal ]
> [[] Attachments :
© Camera Roll © FAVORITE
> Tl Desktop PHOTOS
» Documents
aN
|
a
© Saved Pictures © Screenshots

> [Bb 30 Objects
S BB Necktan

Properti",en (-374.58),,,,,,,,,,,,,,,,
screenshot3.webp,WEBP,RGB,1080,2316,107156,"3:31 @ NO 79%

Games

+ @

Qiu~6

Source OMWNightly RTCW4A  JK3-Touch
Engine

WARS

Max Payne GTA:SA NWN:EE KOTOR Il

rv

Slaythe DeadCells CryingSuns Dungeon of
Spire the Endless

YE:
| be)
WelLisw=x ‘=
\wW,

C  \

BG:DA Strike Te Team Deus Ex: The Jet ee Radio
Fall

II ) 4",en (-204.62),,,,,,,,,,,,,,,,
sign1.png,PNG,P,466,575,177082,,,,,,,,,,,,,,,,,,
sign2.jpeg,JPEG,RGB,4608,3456,5986168,,,,,,,,,,,,,,,,,,
sign3.jpg,JPEG,RGB,1300,1064,272698,www.alamy.com,uncertain,,,,,,,,,,,,,,,,
stock1.jpg,JPEG,RGB,3828,5742,2650780,"‘ F /
=
a ~
¢
> # 2d
* '
% } *
.
ME “*
i oy $
P ‘ ‘“ !
; D i$
tat ¢ £
on s Ry,
” A

¢
we
Po
J4
cad
x
—— ae
* 4
-—S
a
a
ye
%

jun (an
a
in jon

JUHLS
YER GALLE",ka (-103.81),,,,,,,,,,,,,,,,
stock2.jpg,JPEG,RGB,4309,6032,2922669,,,,,,,,,,,,,,,,,,
stock3.jpg,JPEG,RGB,4024,6048,2165594,"v Nb
OK

A MEARE TA 2

Ws

sy C
Bin) WOR MCE AES ee eed

Partin ys.

Pa

> Meter nnneaccnnetnaaen ttt ere
AM fhe ted didleldid did deta, Apnbsasinnewaniise

thas =

Be dilesn cent",en (-180.79),,,,,,,,,,,,,,,,
